COMPANY,SLOGAN,URL,GICS_Sector,SectorId,GICS_SubIndustry,WORDS,
Cerner,Anticipate Innovate Accelerate,Cerner,Health Care,6,Health Care Technology,3,
CF Industries Holdings Inc,Where chemistry grows,CF Industries Holdings Inc,Materials,8,Fertilizers & Agricultural Chemicals,3,
Charles Schwab Corporation,Helping investors help themselves,Charles Schwab Corporation,Financials,4,Investment Banking & Brokerage,4,
Charmin,Please don’t squeeze the Charmin,,Consumer Staples,2,Household Products,,
Chesapeake Energy,Natural Gas Wins the Day,Chesapeake Energy,Consumer Discretionary,1,,5,
Chevron Corp.,"Finding newer, cleaner ways to power the world.",Chevron Corp.,Energy,3,Integrated Oil & Gas,8,
Chick-fil-A,Eat Mor Chikin!,Chick-fil-A,Consumer Staples,2,,,
Chipotle Mexican Grill,Food with integrity,Chipotle Mexican Grill,Consumer Discretionary,1,Restaurants,3,
Chubb Limited,Chubb. Insured.,Chubb Limited,Financials,4,Property & Casualty Insurance,2,
Chuck E. Cheese's,Where a kid can be a kid.,Chuck E. Cheese's,Consumer Staples,2,,,
Church & Dwight,The Standard of Purity,Church & Dwight,Consumer Staples,2,Household Products,4,
CIGNA Corp.,A Business of Caring,CIGNA Corp.,Health Care,6,Managed Health Care,4,
Cimarex Energy,Stronger for Good Time and Bad,Cimarex Energy,Energy,3,Oil & Gas Exploration & Production,6,
Cincinnati Financial,Everything Insurance Should Be,Cincinnati Financial,Financials,4,Property & Casualty Insurance,4,
Cintas Corporation,Ready for the Workday,Cintas Corporation,Industrials,5,Diversified Support Services,4,
Cisco Systems,Welcome To The Human Network,Cisco Systems,Information Technology,7,Communications Equipment,5,
Citigroup Inc.,Your Citi never sleeps” and “Where money lives,Citigroup Inc.,Financials,4,Diversified Banks,8,
Citizens Financial Group,Good Banking Is Good Citizenship,  ,Financials,4,Regional Banks,5,
Citrix Systems,Simplicity is power,Citrix Systems,Financials,4,,3,
CME Group Inc.,How The World Advances,CME Group Inc.,Financials,4,Financial Exchanges & Data,4,
CMS Energy,Count on Us.,CMS Energy,Utilities,11,Multi-Utilities,3,
Coach Inc.,Give her Coach,Coach Inc.,Financials,4,,3,
Coca-Cola,Always Coca-Cola.,Coca-Cola,Consumer Staples,2,,,
Coca-Cola,Coca-Cola. Enjoy!,Coca-Cola,Consumer Staples,2,,,
Coca-Cola,Coke is it!,Coca-Cola,Consumer Staples,2,,,
