COMPANY,SLOGAN,SectorId,URL,Telecommunication Services,GICS_SubIndustry,WORDS,
Dow Chemical,Living. Improved Daily.,15,DowDuPont,Materials,Diversified Chemicals,3,
Dr Pepper Snapple Group,We do things with flavor,25,Dr Pepper Snapple Group,Consumer Discretionary,,5,
DR. REDDY'S LABORATORIES , Life. Research. Hope,35,,Health Care,,,
DTE Energy Co.,For all the energy you’ll ever need.,55,DTE Energy Co.,Utilities,Multi-Utilities,7,
Du Pont (E.I.),The Miracles of Science,15,Du Pont (E.I.),Materials,,4,
Duke Energy,Powering and empowering our communities,55,Duke Energy,Utilities,Electric Utilities,5,
Dun & Bradstreet,committed to your success.,45,Dun & Bradstreet,Information Technology,,4,
Duracell,You can't top the copper top.,25,Duracell,Consumer Discretionary,,,
E*Trade,Get high rates without the risks.,40,E*Trade,Financials,Investment Banking & Brokerage,6,
Eastman Chemical,Where Chemistry and Innovation come together.,15,Eastman Chemical,Materials,Diversified Chemicals,6,
Eaton Corporation,Powering Business Worldwide,20,Eaton Corporation,Industrials,Electrical Components & Equipment,3,
EBAY , The World's Online Market Place,25,,Consumer Discretionary,,,
eBay Inc.,"“Buy it, sell it, love it”",45,eBay Inc.,Information Technology,Internet Software & Services,6,
Ecolab Inc.,The Global Leader in Commercial and Sanitizing Solutions,15,Ecolab Inc.,Materials,Specialty Chemicals,8,
Edison Int’l,Leading the way in electricity.,55,Edison Int'l,Utilities,Electric Utilities,5,
Edwards Lifesciences,Global Leader in the Science of Heart Valves and Hemodynamic Monitoring,35,Edwards Lifesciences,Health Care,Health Care Equipment,11,
Electronic Arts,If it’s in the game. It’s in the game.,45,Electronic Arts,Information Technology,Home Entertainment Software,9,
EMC Corp.,Where information lives.,45,EMC Corp.,Information Technology,,3,
Emerson Electric Company,Consider it solved.,20,Emerson Electric Company,Industrials,Electrical Components & Equipment,3,
Endo International,Serving for the health of the people,35,Endo International,Health Care,,7,
Energizer ,He Keeps Going and Going and …,25,Energizer,Consumer Discretionary,,,
Entergy Corp.,The Power of People.,55,Entergy Corp.,Utilities,Electric Utilities,4,
EOG Resources,"When you think energy, think EOG",10,EOG Resources,Energy,Oil & Gas Exploration & Production,6,
EPSON , Exceed Your Vision,25,,Consumer Discretionary,,,
EQT Corporation,Where energy means innovation,10,EQT Corporation,Energy,Oil & Gas Exploration & Production,4,
Equifax Inc.,Inform. Enrich. Empower.,25,Equifax Inc.,Consumer Discretionary,Research & Consulting Services,3,
Equinix,Where Opportunity Connects,50,Equinix,Telecommunication Services,Specialized REITs,3,
Equity Residential,A place people are proud to call home,60,Equity Residential,Real Estate,Residential REITs,8,
Ernst and Young , Quality in Everything we Do,45,,Information Technology,,,
Essar corp ,we create value,10,,,,,
Essex Property Trust Inc,Every Story is Unique. Every Home is Different.,60,"Essex Property Trust, Inc.",Real Estate,Residential REITs,8,
Esso/Exxon,Put a tiger in your tank.,10,Esso/Exxon,Energy,Oil & Gas Exploration & Production,,
Estee Lauder Cos.,Bringing the best to everyone we touch.,25,Estee Lauder Cos.,Consumer Discretionary,Personal Products,7,
Eversource Energy,"Take only pictures, leave only footprints",55,Eversource Energy,Utilities,Multi-Utilities,6,
Exelon Corp.,Sustainable Advantage,55,Exelon Corp.,Utilities,Multi-Utilities,2,
Expedia Inc.,Where you book matters,25,Expedia Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,4,
Expeditors Int’l,You’d be surprised how far we’ll go for you.,20,Expeditors International,Industrials,Air Freight & Logistics,9,
Express Scripts,Serving the prescription needs of more than 50 million Americans.,35,Express Scripts,Health Care,Health Care Distributors,10,
Extra Space Storage,Real storage expert,60,Extra Space Storage,Real Estate,Specialized REITs,3,
Exxon Mobil Corp.,Taking on the world’s toughest energy challenges.,10,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,7,
F5 Networks,IT agility. Your way.,50,F5 Networks,Telecommunication Services,Communications Equipment,4,
Facebook,Be Connected. Be Discovered. Be on Facebook.,45,"Facebook, Inc.",Information Technology,Internet Software & Services,7,
Farmers Insurance Group,Gets you back where you belong.,40,Farmers Insurance Group,Financials,Property & Casualty Insurance,,
Fastenal Co,Growth through customer service,20,Fastenal Co,Industrials,Building Products,4,
Federal Express,"When it absolutely, positively, has to be there overnight.",20,Federal Express,Industrials,,,
Federal Realty Investment Trust,We make home possible,60,Federal Realty Investment Trust,Real Estate,Retail REITs,4,
FedEx Corporation,"Relax, it’s FedEx; The world on time",20,FedEx Corporation,Industrials,Air Freight & Logistics,7,
FIAT , Driven by Passion. FIAT,20,,Industrials,,,
Fidelity National Information Services,160 years of Experience,45,Fidelity National Information Services,Information Technology,Internet Software & Services,4,
Fifth Third Bancorp,The things we do for dreams.,40,Fifth Third Bancorp,Financials,Regional Banks,6,
First Solar Inc,Lowering The Cost of Solar Electricity,10,First Solar Inc,Energy,,6,
FirstEnergy Corp,Our energy is working for you.,55,FirstEnergy Corp,Utilities,Electric Utilities,6,
